food_id,food_name,slug,category,image_path,image_alt,recommended_for_supplements,nutrient_tags,synergy_reason,avoid_or_caution,allergen_tags,diet_tags,association_rule_items,is_active,source_note
FOOD_001,Orange,orange,Fruits,/media/foods/fruits/orange.webp,Orange food image for I-NutriGuide recommendation card,"Iron, Vitamin C, Multivitamin","vitamin_c, fiber, antioxidants",Vitamin C supports non-heme iron absorption when paired with iron-rich foods.,Avoid only if citrus intolerance or reflux is declared.,citrus,"vegan, vegetarian, gluten_free, dairy_free",FOOD_ORANGE|SUPP_IRON|SUPP_VITAMIN_C|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_002,Kiwi,kiwi,Fruits,/media/foods/fruits/kiwi.webp,Kiwi food image for I-NutriGuide recommendation card,"Iron, Vitamin C, Multivitamin","vitamin_c, fiber, potassium",Vitamin C helps support iron-focused meals and adds fruit diversity.,Avoid only if kiwi allergy is declared.,kiwi,"vegan, vegetarian, gluten_free, dairy_free",FOOD_KIWI|SUPP_IRON|SUPP_VITAMIN_C|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_003,Strawberry,strawberry,Fruits,/media/foods/fruits/strawberry.webp,Strawberry food image for I-NutriGuide recommendation card,"Iron, Vitamin C, Multivitamin","vitamin_c, antioxidants, fiber",Provides vitamin C for meals containing plant iron sources.,Avoid only if berry allergy is declared.,berry,"vegan, vegetarian, gluten_free, dairy_free",FOOD_STRAWBERRY|SUPP_IRON|SUPP_VITAMIN_C|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_004,Blueberries,blueberries,Fruits,/media/foods/fruits/blueberries.webp,Blueberries food image for I-NutriGuide recommendation card,"Multivitamin, Vitamin C","antioxidants, fiber, vitamin_c",Useful as an antioxidant-rich fruit in balanced recommendations.,Avoid only if berry allergy is declared.,berry,"vegan, vegetarian, gluten_free, dairy_free",FOOD_BLUEBERRIES|SUPP_MULTIVITAMIN|SUPP_VITAMIN_C,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_005,Lemon,lemon,Fruits,/media/foods/fruits/lemon.webp,Lemon food image for I-NutriGuide recommendation card,"Iron, Vitamin C",vitamin_c,"Adds vitamin C to iron-rich meals such as lentils, spinach, or beans.",Avoid if citrus intolerance or reflux is declared.,citrus,"vegan, vegetarian, gluten_free, dairy_free",FOOD_LEMON|SUPP_IRON|SUPP_VITAMIN_C,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_006,Grapefruit,grapefruit,Fruits,/media/foods/fruits/grapefruit.webp,Grapefruit food image for I-NutriGuide recommendation card,"Vitamin C, Multivitamin","vitamin_c, antioxidants","Useful as a vitamin C fruit, but requires safety checks with medication interactions.",Check medication interactions before recommending grapefruit.,citrus,"vegan, vegetarian, gluten_free, dairy_free",FOOD_GRAPEFRUIT|SUPP_VITAMIN_C|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_007,Banana,banana,Fruits,/media/foods/fruits/banana.webp,Banana food image for I-NutriGuide recommendation card,"Magnesium, Multivitamin","potassium, carbohydrates, fiber",Supports energy-focused recommendations and simple daily meal plans.,Limit for strict low-sugar plans if required by user profile.,none,"vegan, vegetarian, gluten_free, dairy_free",FOOD_BANANA|SUPP_MAGNESIUM|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_008,Apple,apple,Fruits,/media/foods/fruits/apple.webp,Apple food image for I-NutriGuide recommendation card,Multivitamin,"fiber, antioxidants",Simple fruit option for general healthy lifestyle recommendations.,Avoid if apple allergy is declared.,none,"vegan, vegetarian, gluten_free, dairy_free",FOOD_APPLE|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_009,Pomegranate,pomegranate,Fruits,/media/foods/fruits/pomegranate.webp,Pomegranate food image for I-NutriGuide recommendation card,"Iron, Vitamin C, Multivitamin","polyphenols, vitamin_c",Useful as a fruit option in antioxidant and iron-support meal patterns.,Check user preference because taste can be strong.,none,"vegan, vegetarian, gluten_free, dairy_free",FOOD_POMEGRANATE|SUPP_IRON|SUPP_VITAMIN_C|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_010,Mango,mango,Fruits,/media/foods/fruits/mango.webp,Mango food image for I-NutriGuide recommendation card,"Vitamin C, Multivitamin","vitamin_c, vitamin_a, carbohydrates",Supports vitamin C and energy goals in fruit-based recommendations.,Limit for strict low-sugar plans if required.,none,"vegan, vegetarian, gluten_free, dairy_free",FOOD_MANGO|SUPP_VITAMIN_C|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
